"Weight(Kg)",Middle East,Great Britain,Western Europe,Rest of Asia,Greater China,New Zealand,USA & Canada,Rest of The World,AU,AE,SA
0.5,"10,085","10,217","11,249","10,941","11,009","11,077","11,883","18,451","11,077","9,679","10,085"
1.0,"11,284","11,792","12,755","12,408","12,510","12,647","13,151","20,705","12,647","10,830","11,284"
1.5,"12,482","13,366","14,262","13,875","14,012","14,218","14,418","22,960","14,218","11,979","12,482"
2.0,"13,681","14,941","15,767","15,342","15,513","15,787","15,684","25,214","15,787","13,129","13,681"
2.5,"14,880","16,253","17,273","16,658","16,863","17,201","17,909","28,035","17,201","14,278","14,880"
3.0,"16,078","17,564","18,780","17,974","18,214","18,614","20,134","30,856","18,614","15,428","16,078"
3.5,"17,277","18,875","20,286","19,290","19,564","20,028","22,359","33,678","20,028","16,577","17,277"
4.0,"18,475","20,185","21,793","20,605","20,913","21,441","24,584","36,498","21,441","17,728","18,475"
4.5,"19,674","21,496","23,299","21,922","22,264","22,855","26,808","39,320","22,855","18,877","19,674"
5.0,"20,873","22,807","24,806","23,238","23,614","24,268","29,033","42,140","24,268","20,027","20,873"
5.5,"23,338","25,322","27,463","26,353","26,881","27,711","30,892","45,827","25,972","21,149","23,338"
6.0,"25,748","27,782","30,063","29,413","30,093","31,099","32,698","49,459","27,620","22,215","25,748"
6.5,"28,159","30,240","32,665","32,474","33,305","34,487","34,502","53,093","29,268","23,282","28,159"
7.0,"30,569","32,700","35,266","35,534","36,517","37,875","36,307","56,725","30,917","24,349","30,569"
7.5,"32,980","35,159","37,866","38,595","39,729","41,263","38,111","60,357","32,564","25,414","32,980"
8.0,"35,390","37,619","40,468","41,655","42,941","44,651","39,916","63,989","34,212","26,481","35,390"
8.5,"37,800","40,079","43,069","44,716","46,153","48,039","41,720","67,621","35,861","27,547","37,800"
9.0,"40,212","42,537","45,670","47,776","49,365","51,427","43,525","71,254","37,509","28,614","40,212"
9.5,"42,622","44,997","48,271","50,837","52,577","54,815","45,329","74,886","39,157","29,681","42,622"
10.0,"45,032","47,456","50,873","53,898","55,789","58,203","47,134","78,518","40,806","30,747","45,032"
10.5,"46,442","48,925","52,400","55,605","57,560","60,331","49,199","81,008","42,332","31,341","46,228"
11.0,"47,797","50,338","53,871","57,258","59,277","62,404","51,208","83,443","43,804","31,880","47,367"
11.5,"49,152","51,752","55,344","58,912","60,994","64,478","53,218","85,878","45,277","32,419","48,507"
12.0,"50,508","53,165","56,816","60,565","62,710","66,551","55,228","88,314","46,749","32,958","49,647"
12.5,"51,862","54,579","58,289","62,217","64,427","68,625","57,237","90,748","48,221","33,497","50,787"
13.0,"53,217","55,993","59,761","63,870","66,143","70,698","59,247","93,183","49,694","34,035","51,927"
13.5,"54,572","57,407","61,233","65,524","67,860","72,772","61,258","95,618","51,165","34,574","53,066"
14.0,"55,927","58,820","62,706","67,177","69,576","74,844","63,268","98,053","52,638","35,113","54,207"
14.5,"57,281","60,234","64,177","68,830","71,293","76,918","65,277","100,488","54,110","35,652","55,347"
15.0,"58,637","61,647","65,649","70,483","73,009","78,991","67,287","102,923","55,582","36,191","56,486"
15.5,"60,102","63,171","67,232","72,246","74,836","81,175","69,407","105,468","57,165","36,840","57,737"
16.0,"61,457","64,584","68,704","73,899","76,552","83,248","71,416","107,902","58,637","37,378","58,876"
16.5,"62,811","65,998","70,177","75,552","78,269","85,322","73,426","110,338","60,110","37,917","60,016"
17.0,"64,166","67,411","71,649","77,205","79,985","87,395","75,436","112,773","61,581","38,456","61,156"
17.5,"65,522","68,825","73,120","78,858","81,703","89,467","77,446","115,207","63,053","38,995","62,296"
18.0,"66,877","70,238","74,593","80,511","83,419","91,541","79,455","117,643","64,526","39,534","63,436"
18.5,"68,232","71,652","76,065","82,165","85,136","93,614","81,465","120,077","65,998","40,073","64,576"
19.0,"69,586","73,066","77,538","83,818","86,852","95,688","83,476","122,513","67,471","40,611","65,716"
19.5,"70,941","74,480","79,010","85,470","88,569","97,761","85,485","124,948","68,943","41,150","66,856"
20.0,"72,296","75,893","80,482","87,123","90,285","99,835","87,495","127,382","70,414","41,689","67,995"
20.5,"73,707","77,362","82,009","88,832","92,057","101,962","89,624","129,873","72,006","42,283","69,190"
